ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
e_u025Eu02D0,ɞː,long rounded open-mid central vowel,long_rounded_open-mid_central_vowel,ɞː,long rounded open-mid central vowel
b_u03B2u02C0,βˀ,glottalized voiced bilabial fricative consonant,glottalized_voiced_bilabial_fricative_consonant,βˀ,glottalized voiced bilabial fricative consonant
ns_u207Fu0073,ⁿs,pre-nasalized voiceless alveolar sibilant fricative consonant,pre-nasalized_voiceless_alveolar_sibilant_fricative_consonant,ⁿs,pre-nasalized voiceless alveolar sibilant fricative consonant
y_u028F,ʏ,rounded near-close near-front vowel,rounded_near-close_near-front_vowel,ʏ,rounded near-close near-front vowel
e_u0065u02D0,eː,long unrounded close-mid front vowel,long_unrounded_close-mid_front_vowel,eː,long unrounded close-mid front vowel
hp_u02B0u0070,ʰp,pre-aspirated voiceless bilabial stop consonant,pre-aspirated_voiceless_bilabial_stop_consonant,ʰp,pre-aspirated voiceless bilabial stop consonant
xn_u0078u207F,xⁿ,with-nasal-release voiceless velar fricative consonant,with-nasal-release_voiceless_velar_fricative_consonant,xⁿ,with-nasal-release voiceless velar fricative consonant
p_u0070,p,voiceless bilabial stop consonant,voiceless_bilabial_stop_consonant,p,voiceless bilabial stop consonant
n_u006E,n,voiced alveolar nasal consonant,voiced_alveolar_nasal_consonant,n,voiced alveolar nasal consonant
z_u007A,z,voiced alveolar sibilant fricative consonant,voiced_alveolar_sibilant_fricative_consonant,z,voiced alveolar sibilant fricative consonant
o_u00F8,ø,rounded close-mid front vowel,rounded_close-mid_front_vowel,ø,rounded close-mid front vowel
i_u026A,ɪ,unrounded near-close near-front vowel,unrounded_near-close_near-front_vowel,ɪ,unrounded near-close near-front vowel
u_u0289,ʉ,rounded close central vowel,rounded_close_central_vowel,ʉ,rounded close central vowel
nd_u207Fu0064,ⁿd,pre-nasalized voiced alveolar stop consonant,pre-nasalized_voiced_alveolar_stop_consonant,ⁿd,pre-nasalized voiced alveolar stop consonant
n_u006Eu02C0,nˀ,glottalized voiced alveolar nasal consonant,glottalized_voiced_alveolar_nasal_consonant,nˀ,glottalized voiced alveolar nasal consonant
r_u027E,ɾ,voiced alveolar tap consonant,voiced_alveolar_tap_consonant,ɾ,voiced alveolar tap consonant
o_u006Fu02D0,oː,long rounded close-mid back vowel,long_rounded_close-mid_back_vowel,oː,long rounded close-mid back vowel
k_u006Bu02C0,kˀ,glottalized voiceless velar stop consonant,glottalized_voiceless_velar_stop_consonant,kˀ,glottalized voiceless velar stop consonant
m_u006Du0325,m̥,devoiced voiced bilabial nasal consonant,devoiced_voiced_bilabial_nasal_consonant,m̥,devoiced voiced bilabial nasal consonant
j_u025F,ɟ,voiced palatal stop consonant,voiced_palatal_stop_consonant,ɟ,voiced palatal stop consonant
o_u0254u0303,ɔ̃,nasalized rounded open-mid back vowel,nasalized_rounded_open-mid_back_vowel,ɔ̃,nasalized rounded open-mid back vowel
c_u0063,c,voiceless palatal stop consonant,voiceless_palatal_stop_consonant,c,voiceless palatal stop consonant
ng_u207Fu0067,ⁿg,pre-nasalized voiced velar stop consonant,pre-nasalized_voiced_velar_stop_consonant,ⁿg,pre-nasalized voiced velar stop consonant
rw_u0072u02B7,rʷ,labialized voiced alveolar trill consonant,labialized_voiced_alveolar_trill_consonant,rʷ,labialized voiced alveolar trill consonant
s_u0073u02D0,sː,long voiceless alveolar sibilant fricative consonant,long_voiceless_alveolar_sibilant_fricative_consonant,sː,long voiceless alveolar sibilant fricative consonant
t_u0288,ʈ,voiceless retroflex stop consonant,voiceless_retroflex_stop_consonant,ʈ,voiceless retroflex stop consonant
nr_u207Fu0072,ⁿr,pre-nasalized voiced alveolar trill consonant,pre-nasalized_voiced_alveolar_trill_consonant,ⁿr,pre-nasalized voiced alveolar trill consonant
wh_u0077u02B0,wʰ,aspirated voiced labio-velar approximant consonant,aspirated_voiced_labio-velar_approximant_consonant,wʰ,aspirated voiced labio-velar approximant consonant
hm_u02B0u006D,ʰm,pre-aspirated voiced bilabial nasal consonant,pre-aspirated_voiced_bilabial_nasal_consonant,ʰm,pre-aspirated voiced bilabial nasal consonant
l_u029F,ʟ,voiced velar lateral approximant consonant,voiced_velar_lateral_approximant_consonant,ʟ,voiced velar lateral approximant consonant
_u028Cu02D0,ʌː,long unrounded open-mid back vowel,long_unrounded_open-mid_back_vowel,ʌː,long unrounded open-mid back vowel
i_u0069u0303,ĩ,nasalized unrounded close front vowel,nasalized_unrounded_close_front_vowel,ĩ,nasalized unrounded close front vowel
i_u0268,ɨ,unrounded close central vowel,unrounded_close_central_vowel,ɨ,unrounded close central vowel
qw_u0071u02B7,qʷ,labialized voiceless uvular stop consonant,labialized_voiceless_uvular_stop_consonant,qʷ,labialized voiceless uvular stop consonant
l_u006Cu02C0,lˀ,glottalized voiced alveolar lateral approximant consonant,glottalized_voiced_alveolar_lateral_approximant_consonant,lˀ,glottalized voiced alveolar lateral approximant consonant
th_u0074u02B0u02D0,tʰː,aspirated long voiceless alveolar stop consonant,aspirated_long_voiceless_alveolar_stop_consonant,tʰː,aspirated long voiceless alveolar stop consonant
a_u0250,ɐ,unrounded near-open central vowel,unrounded_near-open_central_vowel,ɐ,unrounded near-open central vowel
k_u006B,k,voiceless velar stop consonant,voiceless_velar_stop_consonant,k,voiceless velar stop consonant
w_u0077,w,voiced labio-velar approximant consonant,voiced_labio-velar_approximant_consonant,w,voiced labio-velar approximant consonant
nw_u006Eu02B7,nʷ,labialized voiced alveolar nasal consonant,labialized_voiced_alveolar_nasal_consonant,nʷ,labialized voiced alveolar nasal consonant
p_u0070u02D0,pː,long voiceless bilabial stop consonant,long_voiceless_bilabial_stop_consonant,pː,long voiceless bilabial stop consonant
ai_u0061u0069,ai,from unrounded open front to unrounded close front diphthong,from_unrounded_open_front_to_unrounded_close_front_diphthong,ai,from unrounded open front to unrounded close front diphthong
j_u02C0u006A,ˀj,pre-glottalized voiced palatal approximant consonant,pre-glottalized_voiced_palatal_approximant_consonant,ˀj,pre-glottalized voiced palatal approximant consonant
t_u02C0u0074u032A,ˀt̪,pre-glottalized voiceless dental stop consonant,pre-glottalized_voiceless_dental_stop_consonant,ˀt̪,pre-glottalized voiceless dental stop consonant
nt_u207Fu0074,ⁿt,pre-nasalized voiceless alveolar stop consonant,pre-nasalized_voiceless_alveolar_stop_consonant,ⁿt,pre-nasalized voiceless alveolar stop consonant
hmw_u02B0u006Du02B7,ʰmʷ,pre-aspirated labialized voiced bilabial nasal consonant,pre-aspirated_labialized_voiced_bilabial_nasal_consonant,ʰmʷ,pre-aspirated labialized voiced bilabial nasal consonant
fh_u0066u02B0,fʰ,aspirated voiceless labio-dental fricative consonant,aspirated_voiceless_labio-dental_fricative_consonant,fʰ,aspirated voiceless labio-dental fricative consonant
f_u0066,f,voiceless labio-dental fricative consonant,voiceless_labio-dental_fricative_consonant,f,voiceless labio-dental fricative consonant
i_u0069u0308,ï,centralized unrounded close front vowel,centralized_unrounded_close_front_vowel,ï,centralized unrounded close front vowel
nh_u006Eu02B0,nʰ,aspirated voiced alveolar nasal consonant,aspirated_voiced_alveolar_nasal_consonant,nʰ,aspirated voiced alveolar nasal consonant
sh_u0073u02B0,sʰ,aspirated voiceless alveolar sibilant fricative consonant,aspirated_voiceless_alveolar_sibilant_fricative_consonant,sʰ,aspirated voiceless alveolar sibilant fricative consonant
d_u00F0u02D0,ðː,long voiced dental fricative consonant,long_voiced_dental_fricative_consonant,ðː,long voiced dental fricative consonant
a_u0252u0303,ɒ̃,nasalized rounded open back vowel,nasalized_rounded_open_back_vowel,ɒ̃,nasalized rounded open back vowel
o_u00F8u02D0,øː,long rounded close-mid front vowel,long_rounded_close-mid_front_vowel,øː,long rounded close-mid front vowel
rh_u0072u02B0,rʰ,aspirated voiced alveolar trill consonant,aspirated_voiced_alveolar_trill_consonant,rʰ,aspirated voiced alveolar trill consonant
nb_u207Fu03B2,ⁿβ,pre-nasalized voiced bilabial fricative consonant,pre-nasalized_voiced_bilabial_fricative_consonant,ⁿβ,pre-nasalized voiced bilabial fricative consonant
ch_u0063u02B0u02D0,cʰː,aspirated long voiceless palatal stop consonant,aspirated_long_voiceless_palatal_stop_consonant,cʰː,aspirated long voiceless palatal stop consonant
s_u0283u02D0,ʃː,long voiceless post-alveolar sibilant fricative consonant,long_voiceless_post-alveolar_sibilant_fricative_consonant,ʃː,long voiceless post-alveolar sibilant fricative consonant
ph_u0070u02B0,pʰ,aspirated voiceless bilabial stop consonant,aspirated_voiceless_bilabial_stop_consonant,pʰ,aspirated voiceless bilabial stop consonant
l_u006Cu0325,l̥,devoiced voiced alveolar lateral approximant consonant,devoiced_voiced_alveolar_lateral_approximant_consonant,l̥,devoiced voiced alveolar lateral approximant consonant
i_u0069u0304,ī,unrounded close front with-mid_tone vowel,unrounded_close_front_with-mid_tone_vowel,ī,unrounded close front with-mid_tone vowel
s_u0283,ʃ,voiceless post-alveolar sibilant fricative consonant,voiceless_post-alveolar_sibilant_fricative_consonant,ʃ,voiceless post-alveolar sibilant fricative consonant
_u0259,ə,unrounded mid central vowel,unrounded_mid_central_vowel,ə,unrounded mid central vowel
n_u02C0u006E,ˀn,pre-glottalized voiced alveolar nasal consonant,pre-glottalized_voiced_alveolar_nasal_consonant,ˀn,pre-glottalized voiced alveolar nasal consonant
dz_u0064u0292u02D0,dʒː,long voiced post-alveolar sibilant affricate consonant,long_voiced_post-alveolar_sibilant_affricate_consonant,dʒː,long voiced post-alveolar sibilant affricate consonant
ei_u0065u0069,ei,from unrounded close-mid front to unrounded close front diphthong,from_unrounded_close-mid_front_to_unrounded_close_front_diphthong,ei,from unrounded close-mid front to unrounded close front diphthong
t_u02C0u0074,ˀt,pre-glottalized voiceless alveolar stop consonant,pre-glottalized_voiceless_alveolar_stop_consonant,ˀt,pre-glottalized voiceless alveolar stop consonant
b_u0062,b,voiced bilabial stop consonant,voiced_bilabial_stop_consonant,b,voiced bilabial stop consonant
tsh_u0074u0283u02B0,tʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant,aspirated_voiceless_post-alveolar_sibilant_affricate_consonant,tʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant
u_u0075u0304,ū,rounded close back with-mid_tone vowel,rounded_close_back_with-mid_tone_vowel,ū,rounded close back with-mid_tone vowel
d_u02C0u00F0,ˀð,pre-glottalized voiced dental fricative consonant,pre-glottalized_voiced_dental_fricative_consonant,ˀð,pre-glottalized voiced dental fricative consonant
g_u0263,ɣ,voiced velar fricative consonant,voiced_velar_fricative_consonant,ɣ,voiced velar fricative consonant
nb_u207Fu0299,ⁿʙ,pre-nasalized voiced bilabial trill consonant,pre-nasalized_voiced_bilabial_trill_consonant,ⁿʙ,pre-nasalized voiced bilabial trill consonant
a_u0061u02D0,aː,long unrounded open front vowel,long_unrounded_open_front_vowel,aː,long unrounded open front vowel
e_u025B,ɛ,unrounded open-mid front vowel,unrounded_open-mid_front_vowel,ɛ,unrounded open-mid front vowel
pw_u0070u02B7u02D0,pʷː,labialized long voiceless bilabial stop consonant,labialized_long_voiceless_bilabial_stop_consonant,pʷː,labialized long voiceless bilabial stop consonant
j_u029D,ʝ,voiced palatal fricative consonant,voiced_palatal_fricative_consonant,ʝ,voiced palatal fricative consonant
n_u0274,ɴ,voiced uvular nasal consonant,voiced_uvular_nasal_consonant,ɴ,voiced uvular nasal consonant
_u0294u02D0,ʔː,long voiceless glottal stop consonant,long_voiceless_glottal_stop_consonant,ʔː,long voiceless glottal stop consonant
gw_u0067u02B7,gʷ,labialized voiced velar stop consonant,labialized_voiced_velar_stop_consonant,gʷ,labialized voiced velar stop consonant
d_u0064,d,voiced alveolar stop consonant,voiced_alveolar_stop_consonant,d,voiced alveolar stop consonant
zh_u007Au02B0,zʰ,aspirated voiced alveolar sibilant fricative consonant,aspirated_voiced_alveolar_sibilant_fricative_consonant,zʰ,aspirated voiced alveolar sibilant fricative consonant
h_u0068,h,voiceless glottal fricative consonant,voiceless_glottal_fricative_consonant,h,voiceless glottal fricative consonant
hv_u02B0u0076,ʰv,pre-aspirated voiced labio-dental fricative consonant,pre-aspirated_voiced_labio-dental_fricative_consonant,ʰv,pre-aspirated voiced labio-dental fricative consonant
au_u0061u0075,au,from unrounded open front to rounded close back diphthong,from_unrounded_open_front_to_rounded_close_back_diphthong,au,from unrounded open front to rounded close back diphthong
kh_u006Bu02B0,kʰ,aspirated voiceless velar stop consonant,aspirated_voiceless_velar_stop_consonant,kʰ,aspirated voiceless velar stop consonant
k_u02C0u006B,ˀk,pre-glottalized voiceless velar stop consonant,pre-glottalized_voiceless_velar_stop_consonant,ˀk,pre-glottalized voiceless velar stop consonant
u_u0075u0303,ũ,nasalized rounded close back vowel,nasalized_rounded_close_back_vowel,ũ,nasalized rounded close back vowel
ch_u0063u02B0,cʰ,aspirated voiceless palatal stop consonant,aspirated_voiceless_palatal_stop_consonant,cʰ,aspirated voiceless palatal stop consonant
gh_u0067u02B0,gʰ,aspirated voiced velar stop consonant,aspirated_voiced_velar_stop_consonant,gʰ,aspirated voiced velar stop consonant
_u028C,ʌ,unrounded open-mid back vowel,unrounded_open-mid_back_vowel,ʌ,unrounded open-mid back vowel
h_u0068u02D0,hː,long voiceless glottal fricative consonant,long_voiceless_glottal_fricative_consonant,hː,long voiceless glottal fricative consonant
ndw_u207Fu0064u02B7,ⁿdʷ,pre-nasalized labialized voiced alveolar stop consonant,pre-nasalized_labialized_voiced_alveolar_stop_consonant,ⁿdʷ,pre-nasalized labialized voiced alveolar stop consonant
i_u0069u0324,i̤,breathy unrounded close front vowel,breathy_unrounded_close_front_vowel,i̤,breathy unrounded close front vowel
i_u0069u02D0,iː,long unrounded close front vowel,long_unrounded_close_front_vowel,iː,long unrounded close front vowel
dzw_u0064u0292u02B7,dʒʷ,labialized voiced post-alveolar sibilant affricate consonant,labialized_voiced_post-alveolar_sibilant_affricate_consonant,dʒʷ,labialized voiced post-alveolar sibilant affricate consonant
u_u0075,u,rounded close back vowel,rounded_close_back_vowel,u,rounded close back vowel
e_u025C,ɜ,unrounded open-mid central vowel,unrounded_open-mid_central_vowel,ɜ,unrounded open-mid central vowel
kw_u006Bu02B7,kʷ,labialized voiceless velar stop consonant,labialized_voiceless_velar_stop_consonant,kʷ,labialized voiceless velar stop consonant
h_u02C0u0068,ˀh,pre-glottalized voiceless glottal fricative consonant,pre-glottalized_voiceless_glottal_fricative_consonant,ˀh,pre-glottalized voiceless glottal fricative consonant
r_u0072,r,voiced alveolar trill consonant,voiced_alveolar_trill_consonant,r,voiced alveolar trill consonant
b_u0062u02D0,bː,long voiced bilabial stop consonant,long_voiced_bilabial_stop_consonant,bː,long voiced bilabial stop consonant
b_u03B2,β,voiced bilabial fricative consonant,voiced_bilabial_fricative_consonant,β,voiced bilabial fricative consonant
ngmw_u014Bu006Du02B7,ŋmʷ,labialized voiced velar-and-bilabial nasal consonant,labialized_voiced_velar-and-bilabial_nasal_consonant,ŋmʷ,labialized voiced velar-and-bilabial nasal consonant
u_u0289u02D0,ʉː,long rounded close central vowel,long_rounded_close_central_vowel,ʉː,long rounded close central vowel
i_u0069u0300,ì,unrounded close front with-low_tone vowel,unrounded_close_front_with-low_tone_vowel,ì,unrounded close front with-low_tone vowel
d_u0256,ɖ,voiced retroflex stop consonant,voiced_retroflex_stop_consonant,ɖ,voiced retroflex stop consonant
nts_u207Fu0074u0283,ⁿtʃ,pre-nasalized voiceless post-alveolar sibilant affricate consonant,pre-nasalized_voiceless_post-alveolar_sibilant_affricate_consonant,ⁿtʃ,pre-nasalized voiceless post-alveolar sibilant affricate consonant
vw_u0076u02B7,vʷ,labialized voiced labio-dental fricative consonant,labialized_voiced_labio-dental_fricative_consonant,vʷ,labialized voiced labio-dental fricative consonant
s_u0073,s,voiceless alveolar sibilant fricative consonant,voiceless_alveolar_sibilant_fricative_consonant,s,voiceless alveolar sibilant fricative consonant
dw_u0064u02B7,dʷ,labialized voiced alveolar stop consonant,labialized_voiced_alveolar_stop_consonant,dʷ,labialized voiced alveolar stop consonant
mwh_u006Du02B7u02B0,mʷʰ,labialized aspirated voiced bilabial nasal consonant,labialized_aspirated_voiced_bilabial_nasal_consonant,mʷʰ,labialized aspirated voiced bilabial nasal consonant
x_u0078,x,voiceless velar fricative consonant,voiceless_velar_fricative_consonant,x,voiceless velar fricative consonant
nz_u207Fu007A,ⁿz,pre-nasalized voiced alveolar sibilant fricative consonant,pre-nasalized_voiced_alveolar_sibilant_fricative_consonant,ⁿz,pre-nasalized voiced alveolar sibilant fricative consonant
i_u0259u0069,əi,from unrounded mid central to unrounded close front diphthong,from_unrounded_mid_central_to_unrounded_close_front_diphthong,əi,from unrounded mid central to unrounded close front diphthong
l_u006Cu0329,l̩,syllabic voiced alveolar lateral approximant consonant,syllabic_voiced_alveolar_lateral_approximant_consonant,l̩,syllabic voiced alveolar lateral approximant consonant
g_u0067,g,voiced velar stop consonant,voiced_velar_stop_consonant,g,voiced velar stop consonant
o_u0254,ɔ,rounded open-mid back vowel,rounded_open-mid_back_vowel,ɔ,rounded open-mid back vowel
m_u006Du02C0,mˀ,glottalized voiced bilabial nasal consonant,glottalized_voiced_bilabial_nasal_consonant,mˀ,glottalized voiced bilabial nasal consonant
nz_u207Fu0292,ⁿʒ,pre-nasalized voiced post-alveolar sibilant fricative consonant,pre-nasalized_voiced_post-alveolar_sibilant_fricative_consonant,ⁿʒ,pre-nasalized voiced post-alveolar sibilant fricative consonant
c_u0063u0327,ç,voiceless palatal sibilant fricative consonant,voiceless_palatal_sibilant_fricative_consonant,ç,voiceless palatal sibilant fricative consonant
bw_u03B2u02B7,βʷ,labialized voiced bilabial fricative consonant,labialized_voiced_bilabial_fricative_consonant,βʷ,labialized voiced bilabial fricative consonant
n_u006Eu0329,n̩,syllabic voiced alveolar nasal consonant,syllabic_voiced_alveolar_nasal_consonant,n̩,syllabic voiced alveolar nasal consonant
pwh_u0070u02B7u02B0,pʷʰ,labialized aspirated voiceless bilabial stop consonant,labialized_aspirated_voiceless_bilabial_stop_consonant,pʷʰ,labialized aspirated voiceless bilabial stop consonant
tn_u0074u207F,tⁿ,with-nasal-release voiceless alveolar stop consonant,with-nasal-release_voiceless_alveolar_stop_consonant,tⁿ,with-nasal-release voiceless alveolar stop consonant
hn_u02B0u006E,ʰn,pre-aspirated voiced alveolar nasal consonant,pre-aspirated_voiced_alveolar_nasal_consonant,ʰn,pre-aspirated voiced alveolar nasal consonant
gw_u0263u02B7,ɣʷ,labialized voiced velar fricative consonant,labialized_voiced_velar_fricative_consonant,ɣʷ,labialized voiced velar fricative consonant
d_u0256u02D0,ɖː,long voiced retroflex stop consonant,long_voiced_retroflex_stop_consonant,ɖː,long voiced retroflex stop consonant
l_u026C,ɬ,voiceless alveolar lateral fricative consonant,voiceless_alveolar_lateral_fricative_consonant,ɬ,voiceless alveolar lateral fricative consonant
mh_u006Du02B0,mʰ,aspirated voiced bilabial nasal consonant,aspirated_voiced_bilabial_nasal_consonant,mʰ,aspirated voiced bilabial nasal consonant
m_u006Du02D0,mː,long voiced bilabial nasal consonant,long_voiced_bilabial_nasal_consonant,mː,long voiced bilabial nasal consonant
vh_u0076u02B1,vʱ,breathy voiced labio-dental fricative consonant,breathy_voiced_labio-dental_fricative_consonant,vʱ,breathy voiced labio-dental fricative consonant
n_u006Eu033C,n̼,voiced linguolabial nasal consonant,voiced_linguolabial_nasal_consonant,n̼,voiced linguolabial nasal consonant
hj_u02B0u029D,ʰʝ,pre-aspirated voiced palatal fricative consonant,pre-aspirated_voiced_palatal_fricative_consonant,ʰʝ,pre-aspirated voiced palatal fricative consonant
hw_u0068u02B7,hʷ,labialized voiceless glottal fricative consonant,labialized_voiceless_glottal_fricative_consonant,hʷ,labialized voiceless glottal fricative consonant
ae_u00E6,æ,unrounded near-open front vowel,unrounded_near-open_front_vowel,æ,unrounded near-open front vowel
mb_u006Du0062,mb,from voiced bilabial nasal to voiced bilabial stop cluster,from_voiced_bilabial_nasal_to_voiced_bilabial_stop_cluster,mb,from voiced bilabial nasal to voiced bilabial stop cluster
mw_u02C0u006Du02B7,ˀmʷ,pre-glottalized labialized voiced bilabial nasal consonant,pre-glottalized_labialized_voiced_bilabial_nasal_consonant,ˀmʷ,pre-glottalized labialized voiced bilabial nasal consonant
l_u006Cu02D0,lː,long voiced alveolar lateral approximant consonant,long_voiced_alveolar_lateral_approximant_consonant,lː,long voiced alveolar lateral approximant consonant
i_u0069,i,unrounded close front vowel,unrounded_close_front_vowel,i,unrounded close front vowel
b_u02C0u0062,ˀb,pre-glottalized voiced bilabial stop consonant,pre-glottalized_voiced_bilabial_stop_consonant,ˀb,pre-glottalized voiced bilabial stop consonant
f_u02C0u0066,ˀf,pre-glottalized voiceless labio-dental fricative consonant,pre-glottalized_voiceless_labio-dental_fricative_consonant,ˀf,pre-glottalized voiceless labio-dental fricative consonant
nb_u207Fu0062,ⁿb,pre-nasalized voiced bilabial stop consonant,pre-nasalized_voiced_bilabial_stop_consonant,ⁿb,pre-nasalized voiced bilabial stop consonant
np_u207Fu0070,ⁿp,pre-nasalized voiceless bilabial stop consonant,pre-nasalized_voiceless_bilabial_stop_consonant,ⁿp,pre-nasalized voiceless bilabial stop consonant
