ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Forms,FormsWithSounds,Concepts,Consonants,ConsonantsByQuality,ConsonantSounds,Vowels,VowelsByQuality,VowelSounds,WordLength,SyllableLength,Family
abvdoceanic-Loyop,Löyöp,,-13.542726,167.343342,leha1244,,176,176,173,21,21,21,9,9,9,4.931818181818182,1.9431818181818181,Austronesian
abvdoceanic-Mafea,Mafea,,-15.4316,167.241,mafe1237,,157,157,156,20,19,20,5,5,5,4.471337579617835,2.0445859872611467,Austronesian
abvdoceanic-PortVato,Port Vato,,-16.3083,168.046,port1286,,164,164,161,21,21,21,9,9,9,4.969512195121951,2.1341463414634148,Austronesian
abvdoceanic-AmbrymNorthFonah,"Ambrym, North (Fonah)",,-16.1741,168.14,nort2839,,173,173,167,25,25,25,9,9,9,4.606936416184971,1.9364161849710984,Austronesian
abvdoceanic-Wetamut,Wetamut,,-14.366666,167.545897,weta1242,,166,166,161,23,21,23,7,7,7,5.036144578313253,2.0120481927710845,Austronesian
abvdoceanic-Valpei,Valpei,,-14.712,166.606,valp1237,,174,174,169,23,23,23,8,8,8,5.574712643678161,2.4770114942528734,Austronesian
abvdoceanic-WhitesandsIarkei,Whitesands (Iarkei),,-19.5019,169.381,whit1269,,170,170,168,22,22,22,8,8,8,6.205882352941177,2.6411764705882352,Austronesian
abvdoceanic-AmbaeWestNgwatua,"Ambae, West (Ngwatua)",,-15.4281,167.807,west2513,,180,180,177,24,24,24,5,5,5,5.538888888888889,2.5722222222222224,Austronesian
abvdoceanic-BaetoraNavenevene,Baetora (Navenevene),,-15.2574,168.159,baet1237,,180,180,171,21,20,21,6,6,6,4.888888888888889,2.0944444444444446,Austronesian
abvdoceanic-Polonombauk,Polonombauk,,-15.4653,167.09,polo1242,,111,111,108,24,24,24,10,9,10,5.018018018018018,2.09009009009009,Austronesian
abvdoceanic-Tolomako,Tolomako,,-15.1569,166.772,tolo1255,,147,147,143,11,11,11,5,5,5,5.040816326530612,2.3401360544217686,Austronesian
abvdoceanic-Toga,Toga,,-13.334872,166.634338,loto1240,,168,168,163,20,20,20,8,8,8,5.0476190476190474,2.1726190476190474,Austronesian
abvdoceanic-Nokuku,Nokuku,,-14.8974,166.603,noku1237,,111,111,108,16,15,16,7,7,7,5.198198198198198,2.3333333333333335,Austronesian
abvdoceanic-Fortsenal,Fortsenal,,-15.4484,166.931,fort1240,,157,157,156,13,13,13,5,5,5,4.936305732484076,2.305732484076433,Austronesian
abvdoceanic-Lehali,Lehali,,-13.5043,167.332,leha1243,,180,180,175,22,22,22,7,7,8,4.477777777777778,1.7833333333333334,Austronesian
abvdoceanic-VenenTautLeviamp,V'ënen Taut (Leviamp),,-16.0903,167.239,bign1238,,176,176,169,20,20,20,8,8,8,5.1875,2.1761363636363638,Austronesian
abvdoceanic-Nume,Nume,,-14.230149,167.593474,nume1241,,175,175,172,22,21,22,7,7,7,5,2.057142857142857,Austronesian
abvdoceanic-SharkBay,Shark Bay,,-15.255284,167.138859,shar1244,,166,166,165,18,18,18,7,7,8,5.150602409638554,2.2289156626506026,Austronesian
abvdoceanic-Ulithian,Ulithian,,9.961388,139.603611,ulit1238,,318,318,126,45,33,45,10,5,11,4.726415094339623,1.7138364779874213,Austronesian
abvdoceanic-Houailou,Houaïlou,,-21.3029,165.468,ajie1238,,282,282,190,20,20,20,9,6,10,3.978723404255319,1.8617021276595744,Austronesian
abvdoceanic-Bola,Bola,,-5.55792,150.095,bola1250,,206,206,188,13,13,13,6,5,6,4.58252427184466,2.1844660194174756,Austronesian
abvdoceanic-Bulu,Bulu,,-5.06134,150.101,bulu1253,,171,171,169,17,17,17,5,5,5,5.988304093567251,2.824561403508772,Austronesian
abvdoceanic-Meramera,Meramera,,-4.97468,151.528,mera1242,,164,164,163,15,15,15,5,5,5,4.713414634146342,2.298780487804878,Austronesian
abvdoceanic-Nukeria,Nukeria,,-3.40038,154.731,nuku1259,,283,283,209,17,10,17,10,5,10,4.862190812720848,2.2614840989399294,Austronesian
abvdoceanic-NindeLawa,Ninde (Lawa),,-16.4291,167.442,labo1244,,186,186,179,29,29,29,10,9,10,5.526881720430108,2.2580645161290325,Austronesian
abvdoceanic-NatiWindua,Na:ti (Windua),,-16.468709,167.496054,nati1244,,211,211,193,37,37,37,13,10,13,5.649289099526066,2.203791469194313,Austronesian
abvdoceanic-NombotkoteUsusMelkin,Nombotkote (Usus - Melkin),,-16.4339,167.566,lete1241,,217,217,194,28,28,29,14,13,14,6.465437788018433,2.6313364055299537,Austronesian
abvdoceanic-NasarianWileventu,Nasarian (Wileven tu),,-16.3497,167.414,nasa1240,,173,173,167,35,35,35,17,15,17,6.757225433526012,2.76878612716763,Austronesian
abvdoceanic-AngavaeDixonReef,Angavae (Dixon Reef),,-16.3267,167.516,dixo1238,,190,190,173,37,37,37,16,13,16,6.521052631578947,2.5789473684210527,Austronesian
abvdoceanic-NeververLingarakSakan,Neverver (Lingarak - Sakan),,-16.1986,167.499,ling1265,,192,192,171,34,33,34,14,13,14,5.630208333333333,2.2135416666666665,Austronesian
abvdoceanic-PangkumuDatisman,Pangkumu (Datisman),,-16.2934,167.651,rere1240,,185,185,171,36,36,36,10,10,10,5.129729729729729,2.1027027027027025,Austronesian
abvdoceanic-UnuaNoferai,Unua (Noferai),,-16.2638,167.599,unua1237,,191,191,183,36,36,36,11,11,11,5.183246073298429,2.1256544502617802,Austronesian
abvdoceanic-TesmbolUsus,Tesmbol (Usus),,,,,,198,198,185,35,35,35,11,11,11,4.848484848484849,1.97979797979798,
abvdoceanic-NititaKhatbol,Nitita (Khatbol),,-16.2,167.46,niti1249,,180,180,167,44,43,45,11,11,11,5.833333333333333,2.316666666666667,Austronesian
abvdoceanic-VaoTorono,Vao (Torono),,-15.898299,167.309973,vaoo1237,,169,169,169,28,28,28,10,10,11,5.153846153846154,2.195266272189349,Austronesian
abvdoceanic-SivitiBeterbuJericho,"Siviti (Beterbu, Jericho)",,,,,,176,176,174,35,35,35,13,13,13,5.2102272727272725,2.0511363636363638,
abvdoceanic-AuluaNetimb,Aulua (Netimb),,-16.3579,167.697,aulu1238,,186,186,181,33,33,33,10,10,10,5.629032258064516,2.317204301075269,Austronesian
abvdoceanic-BurmbarFartavo,Burmbar (Fartavo),,-16.41653,167.73124,burm1263,,181,181,179,26,26,26,9,9,9,5.320441988950276,2.1215469613259668,Austronesian
abvdoceanic-NisvaiBlacksands,Nisvai (Blacksands),,-16.41306,167.785556,nisv1234,,180,180,174,31,31,31,12,12,12,5.772222222222222,2.2333333333333334,Austronesian
abvdoceanic-atarxobuGunwar,ßatarxobu (Gunwar),,,,,,172,172,170,29,29,29,15,15,15,5.075581395348837,2,
abvdoceanic-Najit,Najit,,,,,,168,168,166,34,34,34,11,11,11,4.869047619047619,1.875,
abvdoceanic-AlavasWowoWowo1,Alavas-Wowo (Wowo 1),,,,,,177,177,170,28,28,28,12,11,12,5.824858757062147,2.3333333333333335,
abvdoceanic-MbwenelangXoli,Mbwenelang (Xoli),,-16.338946,167.660849,bwen1239,,179,179,176,32,32,32,10,10,10,5.927374301675978,2.368715083798883,Austronesian
abvdoceanic-MaluaBayMarasup,Malua Bay (Marasup),,-15.9813,167.208,malu1245,,179,179,177,32,32,32,11,11,11,5.067039106145251,2.011173184357542,Austronesian
abvdoceanic-TiraxMaeB,Tirax (Mae B),,-15.9914,167.288,maee1241,,186,186,179,24,24,24,13,13,13,4.940860215053763,1.9838709677419355,Austronesian
abvdoceanic-PortSandwichLamap1,Port Sandwich (Lamap 1),,-16.4952,167.78,port1285,,176,176,172,28,28,28,10,10,10,4.982954545454546,2.0568181818181817,Austronesian
abvdoceanic-WalaWorprevB,Wala (Worprev B),,-16.00951,167.34643,urip1239,,177,177,176,30,30,30,12,12,12,4.887005649717514,2.005649717514124,Austronesian
abvdoceanic-MangapMbula,Mangap-Mbula,,-5.66965,148.041,mbul1263,,208,208,205,17,17,17,10,5,10,4.605769230769231,1.9519230769230769,Austronesian
abvdoceanic-Tami,Tami,,-6.70017,147.732,tami1290,,202,202,200,21,21,21,6,5,6,4.48019801980198,1.7920792079207921,Austronesian
abvdoceanic-MumengPatepdialect,Mumeng (Patep dialect),,-6.91988,146.639,pate1247,,169,169,162,27,24,27,14,10,15,3.455621301775148,1.3136094674556213,Austronesian
abvdoceanic-Mangseng,Mangseng,,-5.89752,150.68,mang1403,,205,205,187,16,16,16,7,6,7,4.546341463414634,1.9853658536585366,Austronesian
abvdoceanic-Bariai,Bariai,,-5.5087,148.666,bari1286,,216,216,209,14,14,14,6,5,6,4.449074074074074,1.9166666666666667,Austronesian
abvdoceanic-Label,Label,,-4.46971,152.678,labe1239,,166,166,158,14,14,14,5,5,5,4.066265060240964,1.6265060240963856,Austronesian
abvdoceanic-Ramoaaina,Ramoaaina,,-4.17306,152.451,ramo1244,,203,203,198,14,14,14,6,6,6,4.463054187192118,1.935960591133005,Austronesian
abvdoceanic-Sursurunga,Sursurunga,,-3.99078,152.768,surs1246,,205,205,201,18,18,18,6,6,6,4.11219512195122,1.6,Austronesian
abvdoceanic-Malalamai,Malalamai,,-5.77495,146.642,mala1489,,180,180,170,21,21,21,8,5,8,4.866666666666666,2.1555555555555554,Austronesian
abvdoceanic-Wab,Wab,,-5.61216,146.461,wabb1237,,165,165,157,20,18,20,9,6,10,5.066666666666666,1.915151515151515,Austronesian
abvdoceanic-Biliau,Biliau,,-5.59896,146.355,awad1244,,188,188,171,20,20,20,8,6,8,6.138297872340425,2.4361702127659575,Austronesian
abvdoceanic-Roinji,Roinji,,-5.80782,146.731,ronj1237,,190,190,179,20,20,20,7,6,7,5.989473684210527,2.557894736842105,Austronesian
abvdoceanic-BaliVitu,Bali-Vitu,,-4.89383,149.141,unea1237,,164,164,142,15,15,15,5,5,5,5.628048780487805,2.5548780487804876,Austronesian
abvdoceanic-Nenaya,Nenaya,,-5.91639,146.859,mato1252,,170,170,165,25,24,25,7,5,7,5.947058823529412,2.5294117647058822,Austronesian
abvdoceanic-Mindiri,Mindiri,,-5.5,146.15,mind1255,,191,191,175,22,22,22,13,9,13,5.952879581151833,2.277486910994764,Austronesian
abvdoceanic-Sio,Sio,,-5.96037,147.353,sioo1240,,257,257,194,18,18,18,11,6,11,5.070038910505836,2.2568093385214008,Austronesian
abvdoceanic-Malasanga,Malasanga,,-5.9401,147.058,mala1487,,180,180,169,17,16,17,9,7,9,5.338888888888889,2.3333333333333335,Austronesian
abvdoceanic-Mutu,Mutu,,-5.79405,148.014,mutu1242,,196,196,182,21,21,21,7,5,7,4.627551020408164,1.9948979591836735,Austronesian
abvdoceanic-Gitua,Gitua,,-6.0151,147.485,gitu1237,,195,195,183,24,24,24,6,5,6,5.158974358974359,2.3282051282051284,Austronesian
abvdoceanic-Arop,Arop,,-3.06984,142.12,arop1242,,172,172,166,15,15,15,10,7,10,6.017441860465116,2.63953488372093,Austronesian
abvdoceanic-Bebeli,Bebeli,,-5.63282,150.323,bebe1252,,229,229,205,16,16,16,8,7,8,5.209606986899563,2.3668122270742358,Austronesian
abvdoceanic-Irarutu,Irarutu,,-2.94438,133.586,irar1238,,212,212,199,21,17,21,7,7,7,3.9764150943396226,1.419811320754717,Austronesian
abvdoceanic-Drubea,Drubea,,-22.0947,166.531,dumb1241,,212,212,204,22,22,22,14,8,16,5.264150943396227,2.25,Austronesian
abvdoceanic-Sori,Sori,,-1.98384,146.642,sori1242,,102,102,96,19,19,19,9,5,9,4.754901960784314,2.0686274509803924,Austronesian
abvdoceanic-Lup,Lup,,-1.52891,145.075,herm1237,,96,96,91,19,19,19,11,6,11,4.572916666666667,1.96875,Austronesian
abvdoceanic-Ponam,Ponam,,-1.91705,146.887,pona1250,,102,102,97,25,24,25,10,6,10,5,2.127450980392157,Austronesian
abvdoceanic-Andra,Andra,,-2.05894,147.085,andr1248,,100,100,96,20,20,20,12,7,12,4.93,2.1,Austronesian
abvdoceanic-Jiriw,Jiriw,,-2.14273,147.202,nali1245,,100,100,96,21,20,21,11,7,11,5.23,2.18,Austronesian
abvdoceanic-Bujan,Bujan,,-2.09163,147.064,kele1258,,110,110,97,22,21,22,11,6,11,4.781818181818182,1.9636363636363636,Austronesian
abvdoceanic-Mokaren,Mokaren,,-2.01602,147.423,moke1240,,105,105,99,19,19,19,11,6,11,5.057142857142857,2.2476190476190476,Austronesian
abvdoceanic-Bipi,Bipi,,-2.11115,146.398,bipi1237,,103,103,98,19,19,19,10,5,10,4.718446601941747,2.0388349514563107,Austronesian
abvdoceanic-Tulu,Tulu,,-2.14155,146.934,tulu1259,,103,103,98,19,19,19,12,7,12,4.951456310679611,2.029126213592233,Austronesian
abvdoceanic-Pak,Pak,,-2.05269,147.767,pakt1239,,102,102,97,26,25,26,13,7,13,4.8431372549019605,2.019607843137255,Austronesian
abvdoceanic-Baluan,Baluan,,-2.5604,147.282,balu1257,,104,104,99,20,19,20,14,8,14,4.605769230769231,1.8173076923076923,Austronesian
abvdoceanic-Avau,Avau,,-6.24342,150.427,avau1237,,173,173,153,21,21,21,7,7,7,4.838150289017341,2.1271676300578033,Austronesian
abvdoceanic-HoteMisimdialect,Hote (Misim dialect),,-7.07708,146.869,hote1245,,190,190,186,19,19,19,8,8,8,4.726315789473684,1.9842105263157894,Austronesian
abvdoceanic-Nyindrou,Nyindrou,,-2.1143,146.627,nyin1250,,238,238,206,20,20,20,6,6,6,4.949579831932773,2.172268907563025,Austronesian
abvdoceanic-SissanoAropdialect,Sissano (Arop dialect),,-3.01976,142.049,siss1243,,195,195,167,16,16,16,9,7,10,5.538461538461538,2.1076923076923078,Austronesian
abvdoceanic-Akolet,Akolet,,-6.22711,150.182,akol1237,,223,223,199,24,23,24,5,5,6,4.95067264573991,1.9417040358744395,Austronesian
abvdoceanic-NaahaiMbatvanui16285,Na'ahai (Mbatvanui) 162-85,,-16.5499,167.509,malf1237,,184,184,181,28,28,28,15,13,15,6.657608695652174,2.652173913043478,Austronesian
abvdoceanic-AxambSmallIslandBrisbane16289,Axamb (Small Island-Brisbane) 162-89,,-16.4838,167.707,axam1237,,184,184,181,29,29,29,12,12,12,6.260869565217392,2.4782608695652173,Austronesian
abvdoceanic-MandriFarun16291,Mandri (Farun) 162-91,,,,,,177,177,174,37,37,37,13,12,13,7.203389830508475,2.8135593220338984,
abvdoceanic-NasvangFarun16293,Nasvang (Farun) 162-93,,-16.458173,167.639563,nasv1234,,174,174,169,26,26,26,13,13,13,5.844827586206897,2.2586206896551726,Austronesian
abvdoceanic-Navwien16287,Navwien 162-87,,-16.502947,167.554419,navw1234,,178,178,176,27,27,27,13,12,13,7.331460674157303,2.9269662921348316,Austronesian
abvdoceanic-UliveoLurtes162107,Uliveo (Lurtes) 162-107,,-16.5073,167.818,mask1242,,201,201,180,32,32,32,12,12,12,5.606965174129353,2.27363184079602,Austronesian
abvdoceanic-AvokAvok16299,Avok (Avok) 162-99,,-16.536653,167.773866,avok1244,,178,178,177,30,30,30,12,12,12,6.151685393258427,2.443820224719101,Austronesian
abvdoceanic-Anuki,Anuki,,-9.6692,149.822,anuk1239,,168,168,165,16,16,16,6,5,7,5.815476190476191,2.857142857142857,Austronesian
abvdoceanic-SinaugoroBalawaiaDialect,Sinaugoro (Balawaia Dialect),,-9.79791,147.861,sina1266,,198,198,173,16,16,16,6,6,6,4.843434343434343,2.282828282828283,Austronesian
abvdoceanic-Buhutu,Buhutu,,-10.5074,150.18,buhu1237,,174,174,168,19,19,19,10,6,11,5.160919540229885,2.4942528735632186,Austronesian
abvdoceanic-Bunama,Bunama,,-10.0761,151.066,buna1276,,207,207,181,22,22,22,6,6,7,5.961352657004831,2.845410628019324,Austronesian
abvdoceanic-Bwaidoga,Bwaidoga,,-9.51158,150.297,bwai1242,,242,242,195,17,17,17,6,6,7,6.132231404958677,2.9834710743801653,Austronesian
abvdoceanic-Dawawa,Dawawa,,-10.1692,149.999,dawa1242,,192,192,169,17,17,17,7,6,7,6.072916666666667,2.828125,Austronesian
abvdoceanic-Dobu,Dobu,,-9.63239,150.825,dobu1241,,256,256,201,20,20,20,8,6,9,6.2109375,2.87109375,Austronesian
abvdoceanic-Gapapaiwa,Gapapaiwa,,-9.73317,149.854,gapa1238,,212,212,181,17,17,17,7,6,7,6.216981132075472,2.8443396226415096,Austronesian
abvdoceanic-Ghayavi,Ghayavi,,-10.011,149.84,ghay1237,,151,151,126,16,16,16,6,6,7,6,2.8874172185430464,Austronesian
abvdoceanic-Hula,Hula,,-9.99427,147.705,hula1239,,213,213,181,12,12,12,7,5,7,5.112676056338028,2.3943661971830985,Austronesian
abvdoceanic-Iamalele,Iamalele,,-9.45005,150.573,iama1237,,245,245,192,20,20,20,7,6,8,6.228571428571429,2.946938775510204,Austronesian
abvdoceanic-Iduna,Iduna,,-9.34361,150.24,idun1242,,244,244,197,18,18,18,6,6,7,6.688524590163935,3.3278688524590163,Austronesian
abvdoceanic-Koluwawa,Koluwawa,,-9.42742,150.462,kolu1245,,232,232,187,19,19,19,5,5,6,6.198275862068965,2.978448275862069,Austronesian
abvdoceanic-Lala,Lala,,-8.93195,146.749,lala1268,,198,198,175,13,13,13,6,6,6,4.813131313131313,2.4343434343434343,Austronesian
abvdoceanic-Minaveha,Minaveha,,-9.59922,150.501,mina1269,,219,219,191,18,18,18,6,6,6,5.2785388127853885,2.5433789954337898,Austronesian
abvdoceanic-Sewa,Sewa,,-10.0277,150.956,sewa1251,,201,201,169,19,19,19,8,6,9,5.830845771144278,2.771144278606965,Austronesian
abvdoceanic-Tubetube,Tubetube,,-10.6599,151.034,bwan1241,,203,203,169,18,18,18,6,6,7,5.536945812807882,2.5911330049261085,Austronesian
abvdoceanic-Wedau,Wedau,,-10.1246,150.172,weda1241,,256,256,199,20,19,20,6,6,7,5.92578125,2.8203125,Austronesian
abvdoceanic-Auhelawa,'Auhelawa,,-10.0959,151.002,auhe1237,,199,199,183,21,21,21,6,5,7,5.472361809045226,2.613065326633166,Austronesian
abvdoceanic-Oyaoya,'Oyaoya,,-10.5392,150.658,oyao1237,,168,168,166,18,18,18,8,6,9,5.4226190476190474,2.613095238095238,Austronesian
abvdoceanic-Paici,Paicî,,-21.096,165.15,paic1239,,229,229,196,19,19,19,17,10,17,3.8122270742358078,1.8820960698689957,Austronesian
abvdoceanic-NyelayuBelepDialect,Nyelâyu (Belep Dialect),,-19.72,163.66,nyal1254,,302,302,147,31,31,31,10,5,10,4.635761589403973,2.019867549668874,Austronesian
abvdoceanic-Aro,Aro,,-21.3183,165.161,arho1237,,141,141,137,22,22,22,14,11,14,5.028368794326241,2.354609929078014,Austronesian
abvdoceanic-Ara,Arʃa,,-21.2866,165.273,arha1237,,142,142,136,19,19,19,14,10,14,4.985915492957746,2.3098591549295775,Austronesian
abvdoceanic-Kapone,Kapone,,-22.2689,166.705,nume1242,,137,137,127,27,27,27,13,11,13,5.043795620437956,2.18978102189781,Austronesian
abvdoceanic-Moenebe,Moeneᵐbeŋ,,-20.4114,164.578,caac1237,,137,137,134,23,23,23,12,8,12,4.430656934306569,1.897810218978102,Austronesian
abvdoceanic-Neku,Neku,,-21.6524,165.578,neku1237,,143,143,137,20,20,20,16,11,16,5.083916083916084,2.2587412587412588,Austronesian
abvdoceanic-Nmi,Nɛmi,,-20.6791,164.797,nemi1240,,146,146,135,27,27,27,13,10,13,4.678082191780822,1.8904109589041096,Austronesian
abvdoceanic-Pinje,Pinje,,-20.7824,164.942,pije1237,,141,141,136,26,26,26,11,7,11,6.361702127659575,2.3404255319148937,Austronesian
abvdoceanic-Poai,Poai,,-20.6873,164.901,fwai1237,,145,145,136,29,29,29,11,9,11,4.855172413793103,1.9241379310344828,Austronesian
abvdoceanic-Poamei,Poamei,,-20.8442,164.77,pwaa1237,,154,154,137,26,26,26,12,8,12,4.967532467532467,1.974025974025974,Austronesian
abvdoceanic-Poapoa,Poapoã,,-20.8133,164.556,pwap1237,,149,149,136,32,32,32,10,6,10,4.6375838926174495,1.8456375838926173,Austronesian
abvdoceanic-Sirehe,Sirehë,,-21.6544,165.482,zire1240,,143,143,136,20,20,20,14,11,14,6.090909090909091,2.7762237762237763,Austronesian
abvdoceanic-Wamoa,Wamoaŋ,,-20.5014,164.409,waam1236,,147,147,137,27,27,27,11,8,11,5.0476190476190474,1.9727891156462585,Austronesian
abvdoceanic-camuki,camuki,,-20.8489,165.13,cemu1238,,156,156,135,22,22,22,12,9,12,5.5256410256410255,2.4358974358974357,Austronesian
abvdoceanic-Ciri,Ciri,,-21.8147,165.792,tiri1258,,162,162,137,24,24,24,14,11,14,5.333333333333333,2.3209876543209877,Austronesian
abvdoceanic-ua,ɲua,,-20.5664,164.51,yuag1237,,149,149,137,24,24,24,9,6,9,4.348993288590604,1.9664429530201342,Austronesian
abvdoceanic-alasu,ʝalasu,,-20.25,164.2,bala1316,,81,81,81,26,26,26,8,6,8,5.308641975308642,2.0864197530864197,Austronesian
abvdoceanic-Moaek,ʰMoaekɛ,,-20.7708,165.04,vama1243,,147,147,137,27,27,27,11,8,11,6.115646258503402,2.4625850340136055,Austronesian
abvdoceanic-Moavek,ʰMoavekɛ,,-20.9246,164.768,hmwa1243,,148,148,136,26,26,26,11,8,11,5.256756756756757,2.0945945945945947,Austronesian
abvdoceanic-Boewe,ᵐBoewe,,-21.6269,165.473,orow1242,,146,146,137,21,21,21,16,11,16,4.965753424657534,2.219178082191781,Austronesian
abvdoceanic-Aragur,‘Aragùrɛ,,-21.8223,166.376,xara1243,,142,142,137,23,23,23,12,9,12,5.640845070422535,2.4295774647887325,Austronesian
abvdoceanic-Aek,’Aekɛ,,-21.0735,164.869,haek1239,,147,147,137,26,26,26,11,8,11,5.258503401360544,2.068027210884354,Austronesian
abvdoceanic-Avek,’Avekɛ,,-21.0249,164.753,have1241,,144,144,136,25,25,25,10,7,10,5.215277777777778,2.076388888888889,Austronesian
abvdoceanic-Mangaia,Mangaia,,,,mang1402,,207,207,191,9,9,9,6,6,6,4.579710144927536,2.072463768115942,Austronesian
abvdoceanic-Tahitian,Tahitian,,-17.6485,-149.45,tahi1242,,252,252,208,9,9,9,6,6,6,4.623015873015873,2.1944444444444446,Austronesian
